"id";"lng";"name";"text"
"1";"en";"cart";"Cart"
"2";"en";"lang_name";"English"
"3";"en";"lang_name_ISO";"EN"
"4";"en";"language";"Language"
"5";"en";"buy";"Buy"
"6";"en";"price";"Price"
"7";"en";"from";"From"
"8";"en";"to";"To"
"10";"en";"new";"New"
"11";"en";"hot";"Hot"
"12";"en";"not_in_stock";"Not in stock"
"13";"en";"asc_price";"by ascrising price"
"14";"en";"desc_price";"by descrising price"
"15";"en";"byrating";"by rating"
"16";"en";"bynewest";"by newest"
"17";"en";"sortby";"Sort by: "
"18";"en";"catalog";"Catalog"
"19";"en";"discount";"Discount"
"20";"en";"offer";"Offer"
"21";"en";"rm_from_list";"Remove"
"22";"en";"total_sum";"Total price"
"23";"en";"remove";"Remove"
"24";"en";"to_order";"Order"
"25";"en";"addto_cart";"Add to cart"
"26";"en";"remind_me";"Remind me "
"27";"en";"bydef";"by default"
"28";"en";"hist_graph";"History"
"29";"en";"sales_hist";"Sales"
"30";"en";"price_hist";"Prices"
"31";"en";"offer_end_at";"Offer end's at:"
"32";"en";"offer_d";"Day"
"33";"en";"offer_h";"H"
"34";"en";"offer_m";"M"
"35";"en";"offer_s";"S."
"36";"en";"register";"Register"
"37";"en";"login";"Login"
"38";"en";"logout";"Logout"
"39";"en";"myprofile";"Myprofile"
"40";"en";"search";"Search"
"43";"en";"comments";"Reviews"
"45";"en";"to_compare";"Compare it"
"46";"en";"compare";"Compare"
"47";"en";"to_wishlist";"To wish"
"48";"en";"to_rate";"Rating"
"49";"en";"comment";"Comment"
"50";"en";"to_comment";"Comment it"
"51";"en";"to_reply";"Reply"
"52";"en";"descr";"Description"
"53";"en";"specs";"Specifications"
"54";"en";"soon";"Soon available"
"55";"en";"RUB";"₽"
"56";"en";"UAH";"₴"
"57";"en";"USD";"$"
"58";"en";"display_size";"Diagonal "
"59";"en";"display_resolution";"Resolution"
"60";"en";"display_type";"Matrix "
"61";"en";"CPU_name";"CPU"
"62";"en";"CPU_cores";"Cores"
"63";"en";"CPU_freq";"Frequency"
"64";"en";"frontal_camera";"Frontal camera"
"65";"en";"backend_camera";"Rear camera"
"66";"en";"ram";"RAM"
"67";"en";"mem";"Memory"
"68";"en";"personal_info";"Personal info"
"69";"en";"confirm";"confirm"
"70";"en";"edit";"edit"
"71";"en";"fname";"First name"
"72";"en";"lname";"Last name"
"73";"en";"tel_number";"Mobile tel."
"74";"en";"address";"Delivery adr."
"75";"en";"filtersReset";"reset all"
"77";"en";"confirm_order";"Confirm order"
"78";"en";"paycard_number";"Card number"
"79";"en";"paycard_info";"Paycard info"
"80";"en";"payment_type";"Payment type"
"81";"en";"paycard";"Paycard"
"82";"en";"cash";"Cash"
"83";"en";"count";"Count"
"84";"en";"currency_type";"Currency type"
"85";"en";"email_me";"Email me"
"86";"en";"email_me_offers";"offers"
"87";"en";"email_me_wishlist";"Changes in wishlist"
"88";"en";"showed_items";"Showed items"
"89";"en";"share";"Share on"
"90";"en";"laptops";"Laptops"
"91";"en";"smartphones";"Smartphones"
"92";"en";"tablets";"Tablets"
"93";"en";"order_done";"Thank you for your purchase"
"128";"ru";"cart";"Корзина"
"129";"ru";"lang_name";"Русский"
"130";"ru";"lang_name_ISO";"RU"
"131";"ru";"language";"Язык"
"132";"ru";"buy";"Купить"
"133";"ru";"price";"Цена"
"134";"ru";"price_add";"$"
"135";"ru";"from";"От"
"136";"ru";"to";"До"
"138";"ru";"new";"Новый"
"139";"ru";"hot";"Топ продаж"
"140";"ru";"not_in_stock";"Нет в наличии"
"141";"ru";"asc_price";"по возрастанию цены"
"142";"ru";"desc_price";"по снижению цены"
"143";"ru";"byrating";"по рейтингу"
"144";"ru";"bynewest";"по новизне"
"145";"ru";"sortby";"Сортировать : "
"146";"ru";"catalog";"Каталог"
"147";"ru";"discount";"Скидка"
"148";"ru";"offer";"Акция"
"149";"ru";"rm_from_list";"Удалить из списка"
"150";"ru";"total_sum";"Сумма всего"
"151";"ru";"remove";"Убрать"
"152";"ru";"to_order";"Оформить заказ"
"153";"ru";"addto_cart";"В корзину"
